Programming Skills,Portfolio URL
"Java, NetBeans, Nuxt.js",https://portfolio.example.com/user1
"Java, VS Code, Flask",https://portfolio.example.com/user2
"Rust, Docker, Express.js",https://portfolio.example.com/user3
"Scala, Git, Spring Boot",https://portfolio.example.com/user4
"Ruby, NetBeans, Django",https://portfolio.example.com/user5
"C#, Gradle, Flutter",https://portfolio.example.com/user6
"Elixir, Notion, Angular",https://portfolio.example.com/user7
"Java, Maven, React",https://portfolio.example.com/user8
"Clojure, NetBeans, Quarkus",https://portfolio.example.com/user9
"Perl, Postman, Quarkus",https://portfolio.example.com/user10
"Kotlin, Maven, Svelte",https://portfolio.example.com/user11
"Lua, Kubernetes, Next.js",https://portfolio.example.com/user12
"C++, Kubernetes, Phoenix",https://portfolio.example.com/user13
"Dart, VS Code, React",https://portfolio.example.com/user14
"TypeScript, Kubernetes, Express.js",https://portfolio.example.com/user15
"Python, Terraform, Laravel",https://portfolio.example.com/user16
"Ruby, IntelliJ IDEA, Flutter",https://portfolio.example.com/user17
"PHP, Rider, Spring Boot",https://portfolio.example.com/user18
"Elixir, Figma, Flask",https://portfolio.example.com/user19
"Python, IntelliJ IDEA, NestJS",https://portfolio.example.com/user20
"Ruby, Postman, Django",https://portfolio.example.com/user21
"Go, Figma, Flask",https://portfolio.example.com/user22
"TypeScript, Kubernetes, Laravel",https://portfolio.example.com/user23
"Lua, IntelliJ IDEA, Svelte",https://portfolio.example.com/user24
"C++, Eclipse, Nuxt.js",https://portfolio.example.com/user25
"JavaScript, Terraform, Express.js",https://portfolio.example.com/user26
"C++, Kubernetes, Flask",https://portfolio.example.com/user27
"Clojure, Eclipse, Nuxt.js",https://portfolio.example.com/user28
"Java, SonarQube, Micronaut",https://portfolio.example.com/user29
"Kotlin, Ansible, Micronaut",https://portfolio.example.com/user30
"Kotlin, SonarQube, ASP.NET Core",https://portfolio.example.com/user31
"Clojure, SonarQube, Angular",https://portfolio.example.com/user32
"C#, Rider, Quarkus",https://portfolio.example.com/user33
"Elixir, Figma, Spring Boot",https://portfolio.example.com/user34
"Groovy, Figma, Quarkus",https://portfolio.example.com/user35
"Python, JIRA, Phoenix",https://portfolio.example.com/user36
"Scala, Postman, Next.js",https://portfolio.example.com/user37
"Haskell, SonarQube, Flask",https://portfolio.example.com/user38
"JavaScript, Git, FastAPI",https://portfolio.example.com/user39
"TypeScript, Postman, Flutter",https://portfolio.example.com/user40
"Haskell, Rider, NestJS",https://portfolio.example.com/user41
"Java, JIRA, Next.js",https://portfolio.example.com/user42
"Clojure, VS Code, Laravel",https://portfolio.example.com/user43
"Dart, Kubernetes, Express.js",https://portfolio.example.com/user44
